
> sports@0.1.0 start
> next start --hostname 127.0.0.1 --port 3000

▲ Next.js 16.2.1
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
✓ Ready in 453ms
[request] 1594eafae4914fa1 GET /en/live status=200 geo=INTL session=no
[request] 57eda24ade464d42 GET /icon.svg status=200 geo=INTL session=no
[request] 8b34e31bd9804c15 GET /icon.svg status=200 geo=INTL session=no
[request] e39357d55f6348fa GET /en status=200 geo=INTL session=no
[request] 3e262d010b5849cf GET /en/leagues/BL1 status=200 geo=INTL session=no
[request] 1bdad05f9a8e46b3 GET /en/leagues/SA status=200 geo=INTL session=no
[request] d51efb2a1e824027 GET /en/leagues/LL status=200 geo=INTL session=no
[request] c4c64b0f552d4987 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] ce022325eb1f41f8 GET /en/leagues/EPL status=200 geo=INTL session=no
[request] 72e96ba7820d422a GET /en/leagues status=200 geo=INTL session=no
[request] 0d74af15e4354fac GET /en status=200 geo=INTL session=no
[request] 324287ad239940b8 GET /en status=200 geo=INTL session=no
[request] 02ad87822b184ed1 GET /en/leagues/EPL status=200 geo=INTL session=no
[request] fe96831a24374e20 GET /en status=200 geo=INTL session=no
[request] e53a76dace9f4d86 GET /en status=200 geo=INTL session=no
[request] 33dc1e620b764f29 GET /en status=200 geo=INTL session=no
[request] 6a0fb002c69b4793 GET /en status=200 geo=INTL session=no
[request] 000bd7641d9a4faf GET /en status=200 geo=INTL session=no
[request] c3c1a1627b5d4112 GET /en status=200 geo=INTL session=no
[request] e9eebde3f8844f4f GET /en/leagues/BL1 status=200 geo=INTL session=no
[request] 0919af4da2b54ae2 GET /en/leagues/SA status=200 geo=INTL session=no
[request] 68669ab46e054d1d GET /en/leagues/LL status=200 geo=INTL session=no
[request] fe506bf8733c4d52 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] 1f3e8f196b1e4136 GET /en/leagues status=200 geo=INTL session=no
[request] b8e793351aa7423b GET /en status=200 geo=INTL session=no
[request] 3831e4e966ab4358 GET /en status=200 geo=INTL session=no
[request] db9b28bb9d4b4772 GET /en status=200 geo=INTL session=no
[request] dc4086ac10be4531 GET /en/leagues/EPL status=200 geo=INTL session=no
[request] d7902118fe2d446e GET /en status=200 geo=INTL session=no
[request] 23ea154e60844df0 GET /en status=200 geo=INTL session=no
[request] 507af17c1d254c3e GET /en status=200 geo=INTL session=no
[request] 6cc078c78c0b4692 GET /en status=200 geo=INTL session=no
[request] 76a6374e719744dd GET /en status=200 geo=INTL session=no
[request] 0105b232797d4c60 GET /en status=200 geo=INTL session=no
[request] 8501b0027fd54063 GET /en/leagues/BL1 status=200 geo=INTL session=no
[request] 8284bab660354007 GET /en/leagues/SA status=200 geo=INTL session=no
[request] 8a8880c25c334d91 GET /en/leagues/LL status=200 geo=INTL session=no
[request] c0919f2968294b50 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] 7a1dd6d51dff4969 GET /en/leagues status=200 geo=INTL session=no
[request] ffa0c62ee39f476f GET /en status=200 geo=INTL session=no
[request] c85f018e1a5942d6 GET /en status=200 geo=INTL session=no
[request] 3eb3ae17e8364f6e GET /en status=200 geo=INTL session=no
[request] 61ccb1d475894fb0 GET /en status=200 geo=INTL session=no
[request] a07647ac48dd4f3a GET /en status=200 geo=INTL session=no
[request] 11d31336d1c6421b GET /en status=200 geo=INTL session=no
[request] 13bf132d04da469a GET /en status=200 geo=INTL session=no
[request] b728ce12d7304361 GET /en status=200 geo=INTL session=no
[request] 2c8baf46eb324701 GET /en status=200 geo=INTL session=no
[request] 78fbd42987164158 GET /en status=200 geo=INTL session=no
[request] 5410183e33fd444a GET /en status=200 geo=INTL session=no
[request] f95f60bb9ce5449e GET /en/leagues/UCL status=200 geo=INTL session=no
[request] 9fa56615ca034c4a GET /en/leagues/EPL status=200 geo=INTL session=no
[request] 112b02b3f1114f93 GET /en/leagues status=200 geo=INTL session=no
[request] ccac0f6abb4540ec GET /en status=200 geo=INTL session=no
[request] cbb569b0af684afe GET /en status=200 geo=INTL session=no
[request] 325d074ecc1346e0 GET /en status=200 geo=INTL session=no
[request] 340b78f77c0541c2 GET /en status=200 geo=INTL session=no
[request] 21c85889cf294af1 GET /en status=200 geo=INTL session=no
[request] bf32887a659548b1 GET /en status=200 geo=INTL session=no
[request] 10b6e1b2764048a9 GET /en status=200 geo=INTL session=no
[request] f156c6c583e041bf GET /en status=200 geo=INTL session=no
[request] cd0ea92ab76a40b8 GET /en status=200 geo=INTL session=no
[request] 02b6fac0ef6f46d7 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] 3b273c922ccc449b GET /en/leagues/EPL status=200 geo=INTL session=no
[request] 07bba6c595604b1b GET /en/leagues status=200 geo=INTL session=no
[request] d69a981e236c4de6 GET /en status=200 geo=INTL session=no
[request] 156578362c844e2b GET /en status=200 geo=INTL session=no
[request] 0ceab5510ea44f12 GET /en status=200 geo=INTL session=no
[request] 8b5050aadea54aed GET /en status=200 geo=INTL session=no
